Week,Slot,Topic,Problem ID,Title,Difficulty,URL,Status,Notes
Week 9,Wed,bit manipulation,tessoku_book_cc,B04. Binary Representation 2,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_cc,,
Week 9,Thu,math,math_and_algorithm_l,012. Primality Test,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_l,,
Week 9,Sat-1,math,math_and_algorithm_o,015. Greatest Common Divisor,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_o,,
Week 9,Sat-2,combinatorics,math_and_algorithm_u,021. Combination Easy,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_u,,
Week 10,Mon,dp,dp_a,A. Frog 1,,https://atcoder.jp/contests/dp/tasks/dp_a,,
Week 10,Tue,dp,dp_b,B. Frog 2,,https://atcoder.jp/contests/dp/tasks/dp_b,,
Week 10,Wed,dp,dp_c,C. Vacation,,https://atcoder.jp/contests/dp/tasks/dp_c,,
Week 10,Thu,dp,dp_d,D. Knapsack 1,,https://atcoder.jp/contests/dp/tasks/dp_d,,
Week 10,Sat-1,dp,dp_e,E. Knapsack 2,,https://atcoder.jp/contests/dp/tasks/dp_e,,
Week 10,Sat-2,dp,dp_f,F. LCS,,https://atcoder.jp/contests/dp/tasks/dp_f,,
Week 11,Mon,dp,dp_g,G. Longest Path,,https://atcoder.jp/contests/dp/tasks/dp_g,,
Week 11,Tue,dp,dp_h,H. Grid 1,,https://atcoder.jp/contests/dp/tasks/dp_h,,
Week 11,Wed,dp,dp_i,I. Coins,,https://atcoder.jp/contests/dp/tasks/dp_i,,
Week 11,Thu,dp,dp_k,K. Stones,,https://atcoder.jp/contests/dp/tasks/dp_k,,
Week 11,Sat-1,dp,dp_l,L. Deque,,https://atcoder.jp/contests/dp/tasks/dp_l,,
Week 11,Sat-2,dp,dp_m,M. Candies,,https://atcoder.jp/contests/dp/tasks/dp_m,,
Week 12,Mon,fenwick tree,practice2_b,B. Fenwick Tree,,https://atcoder.jp/contests/practice2/tasks/practice2_b,,
Week 12,Tue,segment tree,practice2_j,J. Segment Tree,,https://atcoder.jp/contests/practice2/tasks/practice2_j,,
Week 12,Wed,lazy segment tree,practice2_l,L. Lazy Segment Tree,,https://atcoder.jp/contests/practice2/tasks/practice2_l,,
Week 12,Thu,max flow,practice2_d,D. Maxflow,,https://atcoder.jp/contests/practice2/tasks/practice2_d,,
Week 12,Sat-1,two sat,practice2_h,H. Two SAT,,https://atcoder.jp/contests/practice2/tasks/practice2_h,,
Week 12,Sat-2,prefix/trie,abc268_b,B. Prefix?,-696,https://atcoder.jp/contests/abc268/tasks/abc268_b,,
Checkpoint 1 (after Week 4),Sun,range sum queries,tessoku_book_bg,A59. RSQ (Range Sum Queries),,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_bg,,
Checkpoint 2 (after Week 8),Sun,dp warmup,math_and_algorithm_ab,029. Climb Stairs,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_ab,,
Checkpoint 3 (after Week 11),Sun,knapsack review,tessoku_book_s,A19. Knapsack 1,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_s,,
